what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355280081021
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355280086872
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355280094068
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355280094336
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355280094550
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355280097999
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1355280103889
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1355280109882
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355280118371
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355280120258
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1355280124413
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355280128701
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355280134073
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1355280165568
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1355280184976
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355280187522
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355280190673
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355280192934
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355280208844
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1355280209349
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355280213647
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355280220372
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1355280221377
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1355280221641
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1355280241943
