what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.rename.element,1355274348198
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274353731
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274381894
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274386430
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274395279
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1355274395909
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1355274396194
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1355274411082
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1355274472109
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274506523
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274508244
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1355274511572
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1355274522540
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274532642
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274548751
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274551265
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274563515
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274569537
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274576163
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1355274576857
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1355274577152
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1355274580968
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1355274582475
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1355274585026
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1355274589805
