what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1355277850248
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1355277862627
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1355277870056
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1355277872331
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355277874879
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355277876544
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1355277879201
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355277888557
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355277897589
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1355277914708
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355278003232
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355278011671
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1355278012554
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1355278013793
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355278015609
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355278016945
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1355278019683
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355278038686
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355278053056
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1355278053290
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1355278057843
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355278064674
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355278066606
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1355278070811
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1355278081936
