what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.303.v200901290024,org.eclipse.wst.sse.core,1355274088644
started,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1355274088750
started,bundle,org.eclipse.wst.xml.core,1.1.307.v200812040936,org.eclipse.wst.xml.core,1355274088767
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.202.v200811131900,org.eclipse.wst.common.emfworkbench.integration,1355274089143
started,bundle,org.eclipse.wst.common.modulecore,1.1.205.v200901292145,org.eclipse.wst.common.modulecore,1355274089247
started,bundle,org.eclipse.wst.validation,1.2.6.v200902121900,org.eclipse.wst.validation,1355274089319
started,bundle,org.eclipse.jst.j2ee,1.1.206.v200902052030,org.eclipse.jst.j2ee,1355274089432
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1355274091652
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1355274102632
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274133751
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274188195
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274190282
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274276824
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274283395
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274300928
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274307440
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274313840
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1355274314140
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274326853
started,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1355274344208
started,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1355274344637
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.1.v200807241900,org.eclipse.wst.jsdt.manipulation,1355274345509
started,bundle,org.eclipse.wst.jsdt.core,1.0.104.v200901281939,org.eclipse.wst.jsdt.core,1355274346774
started,bundle,org.eclipse.wst.jsdt.ui,1.0.104.v200901290004,org.eclipse.wst.jsdt.ui,1355274347027
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355274348168
